iter	Passed	Remaining
455	927	1106
456	929	1104
457	931	1102
458	933	1099
459	935	1097
460	937	1095
461	938	1093
462	940	1091
463	942	1089
464	944	1086
465	946	1084
466	948	1082
467	950	1080
468	952	1078
469	954	1076
470	956	1074
471	958	1072
472	960	1069
473	962	1067
474	964	1065
475	966	1063
476	967	1061
477	969	1059
478	971	1057
479	973	1054
480	975	1052
481	977	1050
482	979	1048
483	981	1046
484	983	1044
485	985	1042
486	987	1040
487	989	1037
488	990	1035
489	992	1033
490	994	1031
491	996	1029
492	998	1027
493	1000	1024
494	1002	1022
495	1004	1020
496	1006	1018
497	1008	1016
498	1010	1014
499	1012	1012
500	1014	1010
501	1016	1008
502	1018	1006
503	1020	1003
504	1021	1001
505	1023	999
506	1025	997
507	1027	995
508	1029	993
509	1031	991
510	1033	989
511	1035	986
512	1037	985
513	1039	982
514	1041	980
515	1043	978
516	1045	976
517	1047	974
518	1049	972
519	1051	970
520	1053	968
521	1055	966
522	1056	963
523	1058	961
524	1060	959
525	1062	957
526	1064	955
527	1066	953
528	1068	951
529	1070	949
530	1072	947
531	1073	944
532	1075	942
533	1077	940
534	1079	938
535	1081	936
536	1083	934
537	1085	932
538	1087	929
539	1089	927
540	1090	925
541	1092	923
542	1094	921
543	1096	919
544	1098	917
545	1100	915
546	1102	912
547	1104	910
548	1106	908
549	1107	906
550	1110	904
551	1112	902
552	1115	901
553	1117	899
554	1118	897
555	1121	895
556	1122	893
557	1124	891
558	1126	889
559	1128	886
560	1130	884
561	1132	882
562	1134	880
563	1136	878
564	1138	876
565	1140	874
566	1142	872
567	1144	870
568	1146	868
569	1148	866
570	1149	863
571	1151	861
572	1153	859
573	1155	857
574	1157	855
575	1159	853
576	1161	851
577	1162	849
578	1164	847
579	1166	844
580	1169	843
581	1171	841
582	1173	839
583	1175	837
584	1177	835
585	1179	833
586	1181	830
587	1182	828
588	1185	827
589	1187	824
590	1188	822
591	1190	820
592	1192	818
593	1194	816
594	1195	813
595	1197	811
596	1199	809
597	1201	807
598	1203	805
599	1205	803
600	1207	801
601	1209	799
602	1211	797
603	1212	795
604	1214	793
605	1216	791
606	1218	788
607	1220	786
608	1222	784
609	1224	782
610	1226	780
611	1228	778
612	1230	776
613	1231	774
614	1233	772
615	1235	770
616	1237	768
617	1239	766
618	1241	764
619	1243	761
620	1245	759
621	1247	757
622	1249	755
623	1250	753
624	1252	751
625	1254	749
626	1256	747
627	1258	745
628	1260	743
629	1262	741
630	1264	739
631	1266	737
632	1267	735
633	1269	733
634	1271	730
635	1273	728
636	1275	726
637	1277	724
638	1279	722
639	1281	720
640	1282	718
641	1284	716
642	1286	714
643	1288	712
644	1290	710
645	1292	708
646	1294	706
647	1296	704
648	1298	702
649	1300	700
650	1302	698
651	1303	695
652	1305	693
653	1307	691
654	1309	689
655	1310	687
656	1312	685
657	1314	683
658	1316	681
659	1318	679
660	1320	677
661	1322	675
662	1324	673
663	1326	671
664	1328	669
665	1330	667
666	1332	665
667	1334	663
668	1336	661
669	1338	659
670	1339	657
671	1341	654
672	1343	652
673	1345	650
674	1347	648
675	1349	646
676	1351	644
677	1353	642
678	1355	640
679	1357	638
680	1359	636
681	1361	634
682	1363	632
683	1364	630
684	1366	628
685	1370	627
686	1371	625
687	1373	623
688	1375	620
689	1377	618
690	1379	616
691	1381	614
692	1383	612
693	1384	610
694	1386	608
695	1388	606
696	1390	604
697	1392	602
698	1394	600
699	1396	598
700	1397	596
701	1399	594
702	1401	592
703	1403	590
704	1405	588
705	1407	585
706	1408	583
707	1410	581
708	1412	579
709	1414	577
710	1415	575
711	1417	573
712	1419	571
713	1421	569
714	1423	567
715	1425	565
716	1427	563
717	1429	561
718	1431	559
719	1433	557
720	1434	555
721	1436	553
722	1438	551
723	1440	549
724	1442	547
725	1444	545
726	1446	543
727	1448	541
728	1450	539
729	1451	537
730	1453	534
731	1455	532
732	1457	530
733	1459	529
734	1461	526
735	1463	524
736	1465	522
737	1467	520
738	1469	518
739	1471	516
740	1473	514
741	1475	512
742	1476	510
743	1478	508
744	1480	506
745	1482	504
746	1484	502
747	1486	500
748	1488	498
749	1490	496
750	1491	494
751	1493	492
752	1495	490
753	1497	488
754	1499	486
755	1501	484
756	1503	482
757	1504	480
758	1506	478
759	1508	476
760	1510	474
761	1512	472
762	1514	470
763	1516	468
764	1518	466
765	1520	464
766	1522	462
767	1524	460
768	1526	458
769	1527	456
770	1529	454
771	1531	452
772	1532	450
773	1534	448
774	1536	446
775	1537	443
776	1539	441
777	1541	439
778	1542	437
779	1544	435
780	1546	433
781	1547	431
782	1549	429
783	1551	427
784	1553	425
785	1554	423
786	1556	421
787	1558	419
788	1559	417
789	1561	415
790	1563	413
791	1564	410
792	1566	408
793	1568	406
794	1570	404
795	1572	402
796	1574	400
797	1575	398
798	1577	396
799	1579	394
800	1581	392
801	1583	390
802	1584	388
803	1586	386
804	1588	384
805	1590	382
806	1591	380
807	1593	378
808	1595	376
809	1596	374
810	1598	372
811	1600	370
812	1602	368
813	1603	366
814	1605	364
815	1607	362
816	1608	360
817	1610	358
818	1612	356
819	1613	354
820	1615	352
821	1617	350
822	1618	348
823	1620	346
824	1622	344
825	1623	342
826	1625	340
827	1627	338
828	1628	336
829	1630	333
830	1632	331
831	1634	329
832	1635	327
833	1637	325
834	1638	323
835	1640	321
836	1642	319
837	1643	317
838	1645	315
839	1647	313
840	1648	311
841	1650	309
842	1652	307
843	1653	305
844	1655	303
845	1657	301
846	1659	299
847	1660	297
848	1662	295
849	1664	293
850	1665	291
851	1667	289
852	1669	287
853	1670	285
854	1672	283
855	1674	281
856	1675	279
857	1677	277
858	1679	275
859	1680	273
860	1682	271
861	1684	269
862	1685	267
863	1687	265
864	1689	263
865	1690	261
866	1692	259
867	1693	257
868	1695	255
869	1697	253
870	1698	251
871	1700	249
872	1702	247
873	1703	245
874	1705	243
875	1707	241
876	1708	239
877	1710	237
878	1712	235
879	1713	233
880	1715	231
881	1717	229
882	1718	227
883	1720	225
884	1722	223
885	1724	221
886	1725	219
887	1727	217
888	1728	215
889	1730	213
890	1732	211
891	1733	209
892	1735	207
893	1737	205
894	1738	204
895	1741	202
896	1742	200
897	1744	198
898	1746	196
899	1747	194
900	1749	192
901	1751	190
902	1752	188
903	1754	186
904	1755	184
905	1757	182
906	1759	180
907	1760	178
908	1762	176
909	1764	174
910	1765	172
911	1767	170
912	1769	168
913	1771	166
914	1772	164
915	1774	162
916	1776	160
917	1777	158
918	1779	156
919	1781	154
920	1782	152
921	1784	150
922	1786	149
923	1787	147
924	1789	145
925	1790	143
926	1792	141
927	1794	139
928	1795	137
929	1797	135
930	1799	133
931	1800	131
932	1802	129
933	1804	127
934	1805	125
935	1807	123
936	1809	121
937	1810	119
938	1812	117
939	1814	115
940	1815	113
941	1817	111
942	1819	109
943	1820	108
944	1822	106
945	1823	104
946	1825	102
947	1827	100
948	1829	98
949	1830	96
950	1832	94
951	1833	92
952	1835	90
953	1837	88
954	1838	86
955	1840	84
956	1842	82
957	1843	80
958	1845	78
959	1847	76
960	1848	75
961	1850	73
962	1852	71
963	1853	69
964	1855	67
965	1857	65
966	1858	63
967	1860	61
968	1862	59
969	1863	57
970	1865	55
971	1867	53
972	1869	51
973	1871	49
974	1872	48
975	1874	46
976	1876	44
977	1877	42
978	1879	40
979	1881	38
980	1882	36
981	1884	34
982	1886	32
983	1887	30
984	1889	28
985	1891	26
986	1892	24
987	1894	23
988	1896	21
989	1897	19
990	1899	17
991	1901	15
992	1902	13
993	1904	11
994	1906	9
995	1907	7
996	1909	5
997	1911	3
998	1912	1
999	1914	0
